Reason 1,Reason 2,Reason 3,Reason 4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,9,4,179,51,38,241.48,31,0,0,0,3.0
0,0,0,1,9,4,260,50,36,241.48,23,0,4,0,4.0
0,0,0,1,6,2,179,51,38,253.47,31,0,0,0,3.0
0,0,0,1,10,1,118,10,37,253.47,28,0,0,0,3.0
0,0,0,0,10,2,118,13,50,253.47,31,0,1,0,0.0
0,0,0,1,10,3,179,26,30,253.47,19,1,0,0,1.0
0,0,0,1,10,4,179,51,38,253.47,31,0,0,0,3.0
0,0,0,1,10,4,225,26,28,253.47,24,0,1,2,3.0
0,0,0,1,6,2,118,10,37,253.47,28,0,0,0,3.0
0,0,0,1,10,2,225,26,28,253.47,24,0,1,2,2.0
0,0,0,1,10,2,248,25,47,253.47,32,0,2,1,2.0
0,0,0,1,10,3,291,31,40,253.47,25,0,1,1,5.0
0,0,0,1,10,2,179,51,38,253.47,31,0,0,0,8.0
0,0,0,1,10,2,225,26,28,253.47,24,0,1,2,3.0
0,0,1,0,10,3,260,50,36,253.47,23,0,4,0,1.6
1,0,0,0,10,1,291,31,40,253.47,25,0,1,1,8.0
0,0,0,1,10,1,225,26,28,253.47,24,0,1,2,2.0
0,0,0,1,10,2,289,36,33,253.47,30,0,2,1,8.0
0,0,0,1,10,4,361,52,28,253.47,27,0,1,4,1.0
0,0,0,1,10,4,260,50,36,253.47,23,0,4,0,3.0
0,0,0,1,5,0,179,51,38,306.35,31,0,0,0,1.0
0,0,0,1,4,5,225,26,28,306.35,24,0,1,2,1.0
1,0,0,0,5,0,179,51,38,306.35,31,0,0,0,8.0
0,0,1,0,12,4,179,22,40,306.35,22,1,2,0,8.0
0,0,0,1,11,3,291,31,40,306.35,25,0,1,1,5.0
1,0,0,0,2,2,155,12,34,306.35,25,0,2,0,3.2
0,0,0,1,9,4,189,29,33,306.35,25,0,2,2,8.0
1,0,0,0,11,0,291,31,40,306.35,25,0,1,1,4.0
0,0,0,1,11,2,225,26,28,306.35,24,0,1,2,1.0
1,0,0,0,11,4,155,12,34,306.35,25,0,2,0,8.0
0,0,0,1,11,2,225,26,28,306.35,24,0,1,2,3.0
0,0,1,0,11,2,179,22,40,306.35,22,1,2,0,8.0
1,0,0,0,11,4,225,26,28,306.35,24,0,1,2,3.0
0,0,0,1,11,4,260,50,36,306.35,23,0,4,0,4.0
0,0,0,1,2,2,248,25,47,306.35,32,0,2,1,1.0
0,0,0,1,10,6,225,26,28,306.35,24,0,1,2,3.0
1,0,0,0,11,2,289,36,33,306.35,30,0,2,1,2.4
0,0,0,1,11,3,291,31,40,306.35,25,0,1,1,3.0
0,0,0,1,1,0,248,25,47,261.31,32,0,2,1,1.0
0,0,1,0,1,0,118,10,37,261.31,28,0,0,0,6.4
0,0,0,1,2,3,118,13,50,261.31,31,0,1,0,2.0
0,0,0,1,2,3,235,11,37,261.31,29,1,1,1,8.0
0,0,0,1,3,3,225,26,28,261.31,24,0,1,2,2.0
0,0,0,1,4,6,260,50,36,261.31,23,0,4,0,8.0
0,0,1,0,8,2,118,10,37,261.31,28,0,0,0,5.6
0,0,0,1,9,5,361,52,28,261.31,27,0,1,4,8.0
0,0,0,1,10,0,225,26,28,261.31,24,0,1,2,3.0
0,0,0,1,11,3,260,50,36,261.31,23,0,4,0,3.0
0,0,0,1,12,1,225,26,28,261.31,24,0,1,2,2.0
0,0,0,1,12,2,361,52,28,261.31,27,0,1,4,8.0
0,0,0,1,11,3,118,10,37,261.31,28,0,0,0,2.0
0,0,1,0,12,4,246,25,41,261.31,23,0,0,0,8.0
0,0,0,1,12,4,225,26,28,261.31,24,0,1,2,2.0
0,0,0,1,6,2,225,26,28,308.59,24,0,1,2,1.0
0,0,1,0,4,4,118,10,37,308.59,28,0,0,0,1.0
0,0,0,1,5,6,118,10,37,308.59,28,0,0,0,1.0
0,0,1,0,5,6,155,12,34,308.59,25,0,2,0,8.0
0,0,0,1,6,2,225,26,28,308.59,24,0,1,2,2.0
0,0,0,1,7,4,184,42,27,308.59,21,0,0,0,2.0
0,0,0,1,7,4,225,26,28,308.59,24,0,1,2,2.0
0,0,0,1,8,0,225,26,28,308.59,24,0,1,2,1.0
0,0,0,1,11,1,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,12,3,225,26,28,308.59,24,0,1,2,2.0
0,0,0,1,12,3,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,1,2,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,1,3,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,1,4,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,11,1,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,12,3,118,10,37,308.59,28,0,0,0,2.0
0,0,1,0,12,3,179,26,30,308.59,19,1,0,0,8.0
0,0,1,0,12,3,289,36,33,308.59,30,0,2,1,8.0
0,0,0,1,1,2,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,1,3,184,42,27,308.59,21,0,0,0,2.0
0,0,0,1,1,3,118,10,37,308.59,28,0,0,0,2.0
0,0,0,1,1,0,118,10,37,308.59,28,0,0,0,0.0
0,0,0,1,1,1,225,26,28,308.59,24,0,1,2,1.0
0,0,0,1,1,3,289,36,33,308.59,30,0,2,1,3.0
0,0,0,1,5,0,184,42,27,302.59,21,0,0,0,1.0
1,0,0,0,3,2,246,25,41,302.59,23,0,0,0,8.0
1,0,0,0,10,6,179,51,38,302.59,31,0,0,0,8.0
0,0,0,1,11,2,155,12,34,302.59,25,0,2,0,2.0
0,0,0,1,11,2,189,29,33,302.59,25,0,2,2,8.0
0,0,0,1,12,4,260,50,36,302.59,23,0,4,0,2.0
0,0,0,1,12,4,289,36,33,302.59,30,0,2,1,8.0
1,0,0,0,8,1,388,15,50,302.59,24,0,0,0,8.0
1,0,0,0,9,4,388,15,50,302.59,24,0,0,0,8.0
0,0,0,1,2,0,225,26,28,302.59,24,0,1,2,2.0
0,0,0,1,9,4,225,26,28,302.59,24,0,1,2,2.0
0,0,0,1,2,1,179,26,30,302.59,19,1,0,0,1.0
0,0,0,1,2,1,184,42,27,302.59,21,0,0,0,8.0
0,0,0,1,2,3,225,26,28,302.59,24,0,1,2,3.0
0,0,1,0,2,0,330,16,28,302.59,25,1,0,0,8.0
0,0,0,1,2,1,330,16,28,302.59,25,1,0,0,1.0
0,0,0,1,2,2,225,26,28,302.59,24,0,1,2,1.0
0,0,1,0,2,3,189,29,33,302.59,25,0,2,2,8.0
0,0,0,1,1,6,291,50,32,343.25,23,0,0,0,2.0
0,0,1,0,1,6,260,50,36,343.25,23,0,4,0,8.0
0,0,1,0,8,2,157,27,29,343.25,22,0,0,0,3.0
0,1,0,0,3,1,179,22,40,343.25,22,1,2,0,8.0
0,0,0,1,3,2,291,31,40,343.25,25,0,1,1,8.0
1,0,0,0,2,2,260,50,36,343.25,23,0,4,0,8.0
1,0,0,0,3,3,179,26,30,343.25,19,1,0,0,8.0
1,0,0,0,4,6,248,25,47,343.25,32,0,2,1,3.0
1,0,0,0,4,6,260,50,36,343.25,23,0,4,0,4.0
1,0,0,0,7,6,179,22,40,343.25,22,1,2,0,4.0
1,0,0,0,3,0,155,12,34,343.25,25,0,2,0,1.6
0,0,0,1,3,0,260,50,36,343.25,23,0,4,0,1.6
1,0,0,0,3,1,155,12,34,343.25,25,0,2,0,8.0
1,0,0,0,3,3,289,36,33,343.25,30,0,2,1,8.0
1,0,0,0,3,3,179,22,40,343.25,22,1,2,0,8.0
0,0,0,1,3,4,260,50,36,343.25,23,0,4,0,4.0
0,0,0,1,3,4,225,26,28,343.25,24,0,1,2,1.0
1,0,0,0,3,0,279,5,39,343.25,24,0,2,0,8.0
1,0,0,0,3,1,179,51,38,343.25,31,0,0,0,2.4
0,0,0,1,3,2,225,26,28,343.25,24,0,1,2,2.0
1,0,0,0,3,0,225,26,28,343.25,24,0,1,2,8.0
1,0,0,0,3,0,179,26,30,343.25,19,1,0,0,1.0
1,0,0,0,3,1,225,26,28,343.25,24,0,1,2,8.0
1,0,0,0,3,2,225,26,28,343.25,24,0,1,2,1.6
1,0,0,0,3,2,179,51,38,343.25,31,0,0,0,3.0
1,0,0,0,3,3,279,5,39,343.25,24,0,2,0,1.6
0,0,0,1,3,4,225,26,28,343.25,24,0,1,2,2.0
1,0,0,0,3,4,248,25,47,343.25,32,0,2,1,3.0
0,0,0,1,3,0,225,26,28,343.25,24,0,1,2,1.0
0,0,0,1,6,5,291,31,40,326.45,25,0,1,1,1.0
0,0,0,1,4,2,225,26,28,326.45,24,0,1,2,1.0
0,0,0,1,12,6,155,12,34,326.45,25,0,2,0,1.0
1,0,0,0,4,2,246,25,41,326.45,23,0,0,0,2.4
0,0,0,1,4,3,155,12,34,326.45,25,0,2,0,1.0
0,0,0,1,4,4,225,26,28,326.45,24,0,1,2,2.0
0,0,0,1,4,4,260,50,36,326.45,23,0,4,0,4.0
1,0,0,0,6,5,179,51,38,326.45,31,0,0,0,2.4
0,0,0,1,7,0,118,13,50,326.45,31,0,1,0,1.0
0,0,0,1,8,3,291,31,40,326.45,25,0,1,1,3.0
1,0,0,0,8,3,246,25,41,326.45,23,0,0,0,8.0
0,0,0,1,4,4,291,31,40,326.45,25,0,1,1,1.0
0,0,0,1,4,4,248,25,47,326.45,32,0,2,1,8.0
0,0,1,0,4,4,260,50,36,326.45,23,0,4,0,5.6
0,0,1,0,4,1,289,36,33,326.45,30,0,2,1,8.0
1,0,0,0,4,2,155,12,34,326.45,25,0,2,0,2.4
0,0,1,0,4,2,378,49,36,326.45,21,0,2,4,8.0
1,0,0,0,4,3,289,36,33,326.45,30,0,2,1,1.6
1,0,0,0,8,3,235,11,37,326.45,29,1,1,1,3.0
0,0,0,0,4,0,235,29,48,326.45,33,0,1,5,0.0
1,0,0,0,4,1,289,36,33,378.88,30,0,2,1,8.0
0,0,0,1,5,3,155,12,34,378.88,25,0,2,0,2.0
0,0,0,1,2,4,155,12,34,378.88,25,0,2,0,1.0
0,0,1,0,3,5,179,51,38,378.88,31,0,0,0,8.0
0,0,1,0,3,5,225,26,28,378.88,24,0,1,2,8.0
1,0,0,0,11,5,184,42,27,378.88,21,0,0,0,4.0
0,0,0,1,9,0,155,12,34,378.88,25,0,2,0,2.0
1,0,0,0,10,2,179,51,38,378.88,31,0,0,0,1.0
1,0,0,0,4,1,289,36,33,378.88,30,0,2,1,2.4
0,0,0,0,11,5,279,5,39,378.88,24,0,2,0,0.0
0,0,0,0,5,2,330,16,28,378.88,25,1,0,0,0.0
0,0,0,0,5,2,378,49,36,378.88,21,0,2,4,0.0
0,0,0,0,5,2,388,15,50,378.88,24,0,0,0,0.0
1,0,0,0,5,1,179,51,38,378.88,31,0,0,0,1.0
1,0,0,0,11,5,118,13,50,378.88,31,0,1,0,2.4
0,0,0,1,5,4,361,52,28,378.88,27,0,1,4,8.0
0,0,1,0,6,0,246,25,41,377.55,23,0,0,0,8.0
0,0,0,1,6,0,361,52,28,377.55,27,0,1,4,8.0
1,0,0,0,6,1,246,25,41,377.55,23,0,0,0,2.4
0,0,0,1,6,3,291,31,40,377.55,25,0,1,1,4.0
1,0,0,0,6,4,246,25,41,377.55,23,0,0,0,8.0
1,0,0,0,6,0,179,51,38,377.55,31,0,0,0,8.0
0,0,0,1,6,0,155,12,34,377.55,25,0,2,0,4.0
1,0,0,0,6,0,246,25,41,377.55,23,0,0,0,8.0
1,0,0,0,6,2,118,13,50,377.55,31,0,1,0,8.0
1,0,0,0,3,6,235,11,37,377.55,29,1,1,1,1.6
0,0,0,1,7,2,118,13,50,377.55,31,0,1,0,1.0
1,0,0,0,8,5,118,13,50,377.55,31,0,1,0,8.0
0,0,0,1,9,1,378,49,36,377.55,21,0,2,4,8.0
1,0,0,0,10,3,179,51,38,377.55,31,0,0,0,2.0
0,0,0,1,6,0,289,48,49,377.55,36,0,0,2,2.0
0,0,0,1,6,3,225,26,28,377.55,24,0,1,2,2.0
0,0,1,0,5,5,155,12,34,275.31,25,0,2,0,1.6
1,0,0,0,6,1,118,13,50,275.31,31,0,1,0,8.0
1,0,0,0,8,6,118,10,37,275.31,28,0,0,0,8.0
0,0,0,1,8,6,118,10,37,275.31,28,0,0,0,4.0
0,0,0,1,12,2,330,16,28,275.31,25,1,0,0,8.0
0,0,1,0,7,3,179,26,30,275.31,19,1,0,0,8.0
0,0,0,1,7,4,155,12,34,275.31,25,0,2,0,2.0
1,0,0,0,7,0,330,16,28,275.31,25,1,0,0,8.0
1,0,0,0,7,1,330,16,28,275.31,25,1,0,0,8.0
0,0,0,1,7,0,157,27,29,275.31,22,0,0,0,3.0
0,0,0,1,7,1,361,52,28,275.31,27,0,1,4,8.0
0,0,0,1,7,2,289,36,33,275.31,30,0,2,1,8.0
0,0,0,1,7,3,179,51,38,275.31,31,0,0,0,8.0
0,0,1,0,11,0,289,36,33,275.31,30,0,2,1,3.2
0,0,1,0,7,3,289,36,33,275.31,30,0,2,1,8.0
0,0,0,0,7,3,260,50,36,275.31,23,0,4,0,0.0
0,0,1,0,4,4,289,36,33,265.62,30,0,2,1,8.0
0,0,1,0,11,1,157,27,29,265.62,22,0,0,0,3.0
0,0,0,1,7,4,289,36,33,265.62,30,0,2,1,1.0
0,0,1,0,8,0,228,14,58,265.62,22,0,2,1,8.0
1,0,0,0,10,5,300,26,43,265.62,25,0,2,1,1.0
1,0,0,0,10,5,300,26,43,265.62,25,0,2,1,2.0
0,0,0,1,11,1,260,50,36,265.62,23,0,4,0,4.0
0,0,0,1,8,0,289,36,33,265.62,30,0,2,1,4.0
0,0,0,1,9,3,248,25,47,265.62,32,0,2,1,1.0
1,0,0,0,10,5,268,11,33,265.62,25,1,0,0,8.0
0,0,0,1,10,5,179,26,30,265.62,19,1,0,0,1.0
1,0,0,0,10,5,118,13,50,265.62,31,0,1,0,3.0
0,0,0,1,8,6,248,25,47,265.62,32,0,2,1,2.0
0,0,0,1,8,0,235,11,37,265.62,29,1,1,1,1.0
0,0,0,1,8,2,118,13,50,265.62,31,0,1,0,1.0
0,0,1,0,8,2,235,11,37,265.62,29,1,1,1,8.0
1,0,0,0,8,0,361,52,28,265.62,27,0,1,4,8.0
1,0,0,0,8,1,184,42,27,265.62,21,0,0,0,8.0
1,0,0,0,5,0,179,51,38,294.22,31,0,0,0,8.0
0,0,0,1,9,4,179,51,38,294.22,31,0,0,0,3.0
0,0,1,0,7,5,289,36,33,294.22,30,0,2,1,2.4
0,0,0,0,8,1,235,20,43,294.22,38,0,1,0,0.0
1,0,0,0,12,4,246,25,41,294.22,23,0,0,0,1.6
0,0,0,1,9,1,291,31,40,294.22,25,0,1,1,3.0
0,0,0,0,9,1,231,35,39,294.22,35,0,2,2,0.0
0,0,0,0,9,1,291,50,32,294.22,23,0,0,0,0.0
1,0,0,0,9,2,179,51,38,294.22,31,0,0,0,8.0
1,0,0,0,9,2,246,25,41,294.22,23,0,0,0,3.2
0,0,0,1,9,3,179,51,38,294.22,31,0,0,0,1.0
0,0,0,1,9,4,291,31,40,294.22,25,0,1,1,4.0
0,0,0,1,9,4,260,50,36,294.22,23,0,4,0,4.0
0,0,0,1,9,2,235,20,43,294.22,38,0,1,0,8.0
0,0,0,1,9,3,118,13,50,294.22,31,0,1,0,1.0
0,0,0,0,9,3,235,20,43,294.22,38,0,1,0,0.0
0,0,0,1,9,4,291,31,40,294.22,25,0,1,1,3.0
1,0,0,0,9,0,291,31,40,294.22,25,0,1,1,4.0
1,0,0,0,9,0,179,51,38,294.22,31,0,0,0,8.0
0,0,0,1,5,1,289,36,33,265.02,30,0,2,1,8.0
0,0,0,1,5,1,235,11,37,265.02,29,1,1,1,4.0
0,0,0,1,5,1,289,36,33,265.02,30,0,2,1,8.0
0,0,0,1,6,4,289,36,33,265.02,30,0,2,1,8.0
0,0,0,0,6,4,118,13,50,265.02,31,0,1,0,0.0
0,0,0,0,6,4,248,25,47,265.02,32,0,2,1,0.0
1,0,0,0,12,5,179,26,30,265.02,19,1,0,0,8.0
1,0,0,0,12,5,118,10,37,265.02,28,0,0,0,3.0
0,0,0,1,12,5,369,17,31,265.02,25,0,3,0,8.0
0,0,0,1,10,4,179,51,38,265.02,31,0,0,0,1.0
1,0,0,0,10,4,179,26,30,265.02,19,1,0,0,6.4
0,0,0,0,10,4,235,20,43,265.02,38,0,1,0,0.0
0,0,1,0,10,5,289,36,33,265.02,30,0,2,1,1.6
0,0,0,1,10,6,260,50,36,265.02,23,0,4,0,3.0
0,0,0,0,10,6,235,20,43,265.02,38,0,1,0,0.0
0,0,0,1,10,2,235,20,43,265.02,38,0,1,0,2.0
0,0,0,1,10,2,235,20,43,265.02,38,0,1,0,2.0
0,0,0,1,10,3,118,13,50,265.02,31,0,1,0,1.0
0,0,0,1,10,3,291,31,40,265.02,25,0,1,1,4.0
0,0,0,1,10,5,179,26,30,265.02,19,1,0,0,1.6
0,0,0,1,10,5,118,13,50,265.02,31,0,1,0,1.0
1,0,0,0,10,2,361,52,28,265.02,27,0,1,4,8.0
0,0,0,0,10,3,260,50,36,265.02,23,0,4,0,0.0
0,0,0,0,10,3,291,31,40,265.02,25,0,1,1,0.0
0,0,0,0,10,3,157,27,29,265.02,22,0,0,0,0.0
1,0,0,0,10,4,179,26,30,265.02,19,1,0,0,5.0
1,0,0,0,10,4,179,26,30,265.02,19,1,0,0,5.0
0,0,0,1,10,5,118,13,50,265.02,31,0,1,0,1.0
1,0,0,0,7,0,118,10,37,284.03,28,0,0,0,8.0
0,0,0,1,7,0,248,25,47,284.03,32,0,2,1,2.0
1,0,0,0,8,3,179,51,38,284.03,31,0,0,0,8.0
0,0,0,1,11,4,260,50,36,284.03,23,0,4,0,3.0
0,0,0,1,11,0,291,31,40,284.03,25,0,1,1,1.0
1,0,0,0,11,0,378,49,36,284.03,21,0,2,4,8.0
1,0,0,0,11,0,155,12,34,284.03,25,0,2,0,1.2
0,0,0,1,11,0,235,20,43,284.03,38,0,1,0,8.0
0,0,0,0,11,1,330,16,28,284.03,25,1,0,0,0.0
0,0,1,0,11,2,235,11,37,284.03,29,1,1,1,1.0
1,0,0,0,11,2,118,10,37,284.03,28,0,0,0,3.0
0,0,0,1,11,3,235,11,37,284.03,29,1,1,1,2.0
0,0,0,1,11,3,179,51,38,284.03,31,0,0,0,3.0
1,0,0,0,11,4,246,25,41,284.03,23,0,0,0,8.0
1,0,0,0,11,4,291,31,40,284.03,25,0,1,1,4.0
1,0,0,0,11,0,246,25,41,284.03,23,0,0,0,8.0
0,0,0,1,11,1,179,51,38,284.03,31,0,0,0,1.0
1,0,0,0,11,2,260,50,36,284.03,23,0,4,0,8.0
0,1,0,0,11,4,260,50,36,284.03,23,0,4,0,8.0
0,0,0,0,11,4,378,49,36,284.03,21,0,2,4,0.0
0,0,0,0,11,1,279,5,39,284.03,24,0,2,0,0.0
0,0,0,1,11,3,179,51,38,284.03,31,0,0,0,1.0
1,0,0,0,5,3,225,26,28,236.63,24,0,1,2,3.0
0,0,0,1,5,3,179,51,38,236.63,31,0,0,0,2.0
0,0,0,1,5,3,179,51,38,236.63,31,0,0,0,1.0
0,0,0,1,5,3,235,11,37,236.63,29,1,1,1,3.0
0,0,0,1,6,6,118,13,50,236.63,31,0,1,0,1.0
0,0,0,1,9,0,260,50,36,236.63,23,0,4,0,4.0
1,0,0,0,12,3,246,25,41,236.63,23,0,0,0,8.0
0,0,0,1,12,3,179,51,38,236.63,31,0,0,0,1.0
0,0,0,1,12,4,179,51,38,236.63,31,0,0,0,1.0
0,0,0,1,12,1,179,26,30,236.63,19,1,0,0,1.0
0,0,0,1,12,1,118,10,37,236.63,28,0,0,0,8.0
0,0,0,1,12,3,235,11,37,236.63,29,1,1,1,2.0
0,0,0,1,12,4,179,51,38,236.63,31,0,0,0,1.0
1,0,0,0,12,1,235,20,43,236.63,38,0,1,0,8.0
1,0,0,0,12,1,235,11,37,236.63,29,1,1,1,4.0
0,0,0,1,12,2,260,50,36,236.63,23,0,4,0,8.0
0,0,0,1,12,0,157,27,29,236.63,22,0,0,0,2.0
0,0,0,1,12,0,179,51,38,236.63,31,0,0,0,3.0
0,0,1,0,12,0,289,36,33,236.63,30,0,2,1,8.0
0,0,0,1,4,5,225,26,28,330.06,24,0,1,2,5.0
0,0,1,0,9,4,118,10,37,330.06,28,0,0,0,3.2
0,0,0,1,9,4,155,12,34,330.06,25,0,2,0,2.0
1,0,0,0,3,2,235,11,37,330.06,29,1,1,1,1.0
0,0,0,1,3,2,155,12,34,330.06,25,0,2,0,4.0
0,0,0,1,9,4,289,36,33,330.06,30,0,2,1,8.0
1,0,0,0,11,2,291,31,40,330.06,25,0,1,1,8.0
0,0,0,1,1,0,235,20,43,330.06,38,0,1,0,8.0
0,0,0,1,1,0,118,13,50,330.06,31,0,1,0,4.0
0,0,0,1,1,2,179,51,38,330.06,31,0,0,0,1.0
0,0,0,1,1,4,179,51,38,330.06,31,0,0,0,1.0
0,0,0,1,7,6,118,10,37,251.82,28,0,0,0,2.0
0,0,0,1,1,0,179,51,38,251.82,31,0,0,0,3.0
1,0,0,0,1,0,225,26,28,251.82,24,0,1,2,1.0
0,0,0,1,3,3,289,36,33,251.82,30,0,2,1,3.0
0,0,0,1,10,0,260,50,36,251.82,23,0,4,0,3.0
0,0,0,1,2,4,179,51,38,251.82,31,0,0,0,3.0
0,0,0,1,2,0,179,51,38,251.82,31,0,0,0,2.0
0,0,0,1,2,2,179,51,38,251.82,31,0,0,0,3.0
1,0,0,0,2,3,179,51,38,251.82,31,0,0,0,8.0
0,0,0,1,2,3,246,25,41,251.82,23,0,0,0,8.0
0,0,0,1,2,4,179,51,38,251.82,31,0,0,0,3.0
0,0,0,1,2,0,189,29,33,251.82,25,0,2,2,8.0
0,0,0,1,2,0,179,51,38,251.82,31,0,0,0,3.0
0,0,0,1,2,1,246,25,41,251.82,23,0,0,0,2.0
0,0,0,1,2,1,291,31,40,251.82,25,0,1,1,2.0
1,0,0,0,2,2,157,27,29,251.82,22,0,0,0,1.6
0,0,0,1,2,2,179,51,38,251.82,31,0,0,0,3.0
0,0,0,1,2,4,179,51,38,251.82,31,0,0,0,3.0
1,0,0,0,2,4,246,25,41,251.82,23,0,0,0,2.4
0,0,0,1,2,2,179,51,38,251.82,31,0,0,0,3.0
0,0,0,1,2,4,179,51,38,251.82,31,0,0,0,3.0
0,0,1,0,7,0,118,10,37,244.39,28,0,0,0,8.0
0,0,1,0,8,3,246,25,41,244.39,23,0,0,0,1.6
0,0,0,1,10,1,246,25,41,244.39,23,0,0,0,2.0
0,0,0,1,10,1,260,50,36,244.39,23,0,4,0,4.0
0,0,0,1,3,0,179,51,38,244.39,31,0,0,0,2.0
0,0,0,1,3,0,235,11,37,244.39,29,1,1,1,8.0
0,0,0,1,3,1,179,22,40,244.39,22,1,2,0,8.0
0,0,0,1,3,1,378,49,36,244.39,21,0,2,4,8.0
0,0,0,1,3,0,179,51,38,244.39,31,0,0,0,1.6
0,0,0,1,3,2,361,52,28,244.39,27,0,1,4,8.0
0,0,0,0,3,2,369,17,31,244.39,25,0,3,0,0.0
0,0,1,0,3,3,235,11,37,244.39,29,1,1,1,8.0
0,0,0,1,3,4,118,13,50,244.39,31,0,1,0,2.0
1,0,0,0,3,1,118,13,50,244.39,31,0,1,0,3.0
1,0,0,0,3,2,118,13,50,244.39,31,0,1,0,8.0
0,0,0,0,3,3,235,11,37,244.39,29,1,1,1,0.0
